asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
2.krs Desk 7,0,11,10.34,72.34,73.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0
desk 115,0,0,0,0,0,0,0,86.81,8.17,82.5,48.17,68.17,83.17,0,0,59.5,88.7,87.69,24.68,17.83,76.34,0,57.3,17.17,0,45.67,37.84,7.67,38.51,0,76.84,79.17,26.5,28.18,64.84,43,41.33,61.79,32.34,0,74.84,79.84,53.5,77.17
desk 104,0,77.34,0,78.5,70.67,76.17,79.51,9.07,77.34,66.84,0,76.67,79.17,0,74.84,78.34,63.5,78.17,0,75.34,79.84,80.34,5.5,0,0,79.67,79.34,81,36.67,0,78.34,76.84,0,66.34,0,80.34,79.67,52.17,77.51,76.5,77.84,82.58,85.1,0
Desk 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 35,0,0,0,3,0,65.85,0,45.86,30.83,42,15.04,35.33,41.5,0,77.17,48.73,66.17,77,22.17,98.59,72.84,81.83,80.5,59,0,80.17,66.83,63.83,0,0,0,0,0,0,0,83.64,43.33,42.48,53.67,75.17,0,80.34,0,78.5
Desk 63,0,0,0,0,0,0,0,37.29,3.83,10,33.5,42.66,55,98.66,41.5,0,86.33,41.66,84.17,32.67,0,94.5,80.04,67.33,0,0,77.56,72.5,9.33,72.66,0,84.66,27,0,0,0,88.83,52,44,77.17,0,68.66,67.82,73.83
desk 109,0,0,0,0,0,0,83.88,83.71,81.04,0,74.34,15.5,77.34,77.17,75.83,85.34,86,80.5,80.84,78.34,78,81.17,79.67,0,0,78.93,83.5,81.17,16,0,90.4,82.01,0,0,0,67.86,0,79.84,49.17,0,81.84,0,50.16,0
desk 101,0,0,0,12.17,0,0,0,0,0,3,0,27.67,0.83,0,29.34,0,86.34,32.33,47.33,2,0,39.67,0,16.33,31.84,0,82,0.5,0,0,0,3.5,0,0,0,60.27,26,78.01,25,16.83,0,54.17,55,1.33
Desk 45,0,0,0,0,0,0,0,0,59.06,44.22,0,1.67,80.01,55.17,0,0,0,0,36,0,0,0,24,87.69,0,0,0,64.51,79.63,42.11,0,79.67,0,79.34,0,0,0,78.5,41.5,6.67,0,0,0,80.09
desk 110,0,81,85.17,89.24,0,49.34,65.17,66.46,37.17,0,52.33,51.84,79.84,0,82.67,0,75,84.17,32.67,0,87.76,53.17,74.84,68.51,0,0,74.84,78.67,17.51,0,77,78.34,71.34,81.46,0,9.83,81.1,26,58.67,0,10.83,80.34,87.88,76.71
2.krs Round Desk 1,0,1.83,17.33,50.84,0,0,21.83,50.33,5,4,54.67,26.12,0,19.34,12.83,9.67,56.67,43.5,58.17,0.33,17.5,3.67,74.17,72.34,0.83,9.5,5.83,67.17,43.67,22,0,11.33,60.67,38.69,0,14,0,60.33,0.5,33.5,0.67,0,19.5,16.33
2.krs Round Desk 2,0,1.83,1,19.34,0,0,22.17,50.84,16.33,0,52,67.23,28.67,53.55,59.67,9.67,9.33,62,19.17,0,17.67,0,73.17,72.17,0,9.67,0,65.84,43.83,0.33,0,0.67,60.67,18.83,1.83,3.5,8.33,71.67,0,12.83,0.67,0,0.83,16.33
desk 153,0,0,11.23,49.83,0.67,0,50.17,49.84,86,80,22.66,58.33,88.84,85.5,75.67,0,86.28,35,35.67,26.67,0,89.34,80.84,82.17,0,19.33,77.17,80.67,42.84,0,6,0,83.51,92.5,0,82.17,0,67.17,74.67,0,0,10,52.5,84.5
desk 143,0,73.17,0,64.84,0,79.67,88.17,84.33,0,0,0,0,86,86.34,0,84.83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,85.84,54,0,77.67,0,82.5,57.33,45.34,22.83,80.14,0,0,0,0
desk 123,0,72.59,100,100,36.93,95.95,88.63,96.64,92.81,0,15.33,21.67,11.17,16.17,28.34,83.5,47.01,53.67,11.66,0,0.83,0.83,88.01,82.5,52.5,93.49,86.33,76.51,96.52,92.53,98.88,66.38,100,97.4,82.24,99.6,91.61,0,0.83,0,58.33,47.34,70.34,77.34
desk 151,0,73.17,68.84,18.67,0,69.84,75.5,77.33,72.17,64.67,0,0,0,0,0,0,0,0,0,79.17,81.01,84.5,82.67,67.5,78.33,0.5,0.33,0,0,75.5,82,73.84,79.67,70.84,74,79.34,62,82.17,66,77,74,80.17,75.71,81.84
desk 142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,74,68.33,28.67,62,70.66,63.53,61,69.83,63.67,59.16,82.23,63.83,63,27.17,79,64.67,69.17,41.33,66.16,0,0,0,0
desk 122,0,0,68.17,21.81,69,38.67,84.16,92,78.17,0,56,77.83,74.5,0,52.83,0,17.5,78.72,39.89,0,77,78.91,79.41,74.83,0,83.67,75.83,75.67,85,0,77.67,61.67,86.79,0,65.83,57.48,0,0.5,0.5,0,55,33.33,42.83,79.17
DEsk 88,0,27,21.5,15.67,35.16,33.5,30,40.45,26.5,0,28.5,16.17,10.17,71.17,9.33,16.17,12.33,71.83,2.83,0,0,41.5,37.93,0,0,26.84,50.5,5.5,49.34,41.5,35,14.65,26,68.17,28.79,19.83,1.5,43.17,52.91,0,82.17,29.36,36.69,12.67
