asset,2024-03-01,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31
2.krs Desk 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,7,0,0,0,0,23.67,40.84,0,0,0,0,0,0,0,32.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,17.32,50.98,37.97,69.13,48,19.77,22,0,0,0
desk 115,0,72.84,83.84,17.67,41.84,72,0,39.17,45.51,79.94,69.84,0,86.73,77.17,68.34,0,53.5,28,77.67,0,0,0,0,61.67,81,0,80.17,85.22,0,76.51,0,0,3.67,64.17,62.5,0,0,34.5,70.34,90.41,0,0,76.84,0,0,0,28.67,0,84.8,0,74.17,0,70.84,60.01,0,0,0,69,76.34,0,0,0,79.84,58.5,31.44,0
desk 104,0,53.84,75.5,52,73,78.67,51.5,78.51,80.31,61.17,77.84,78.17,78.84,78,79.17,72,79.17,82.05,80.34,0,0,0,80.01,78.5,79.51,78.17,77.84,70.67,10.67,78.84,77.84,0,78.34,0,78.17,80.17,78,83,77.33,71,80.34,0,76.67,0,43.5,22.17,68.34,80.17,48.17,0,0,0,78.34,76.34,79.17,70.5,79.84,74.5,77.84,56.34,0,79,77.01,83.17,0,0
Desk 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 35,0,77.5,0,73.67,77.5,69.5,70.46,77,22.83,74.5,77.5,81.89,76.67,0,70.67,0,27.67,64.84,80.92,40.5,0,0,37.5,55.5,23.5,0,0,73.33,0,0,0,0,66.98,80.33,67.67,0,0,40.17,0,67.34,0,0,0,0,0,0,0,0,0,0,0,0,68.17,0,0,0,0,19.5,0,0,0,80.83,0.33,6.83,0.83,0
Desk 63,0,0,57.5,48,7,0,80.83,51.83,87.87,48.67,0,0,27.5,88.33,90.17,0,30.5,0,0,0,0,0,27.33,0,0,40.67,0,81.67,58.33,0,0,0,0,0,40.99,0,70.67,51.67,0,80.33,0,62.33,81.5,0,93.06,0,45.5,0,82.83,0,0,84,85.33,87.11,0,0,14,92.46,79.17,94.14,0,0,59,10,88,0
desk 109,80.34,35.84,79,82.84,13.17,30,76.61,64.9,50.84,79.67,51.17,50.34,85.84,36.5,58.33,0,62.55,74.17,0,0,0,0,0,79.17,80.17,31.33,42.84,54.67,58.81,14.17,63.5,88.51,88.67,46.83,50.33,0,53.17,79.34,0,82.5,37.33,0,80,0,64.5,0,19,79.2,61.5,0,81.02,44.51,88.83,46.99,0,0,53.67,80.84,41,26.67,0,0,32.67,51.17,0,0
desk 101,0,0,41.84,71.84,0,0,53.84,25.5,0,0,72.5,0,42.83,90.67,84.51,19.34,0,80.46,61.17,0,0,0,81.23,81.72,4.83,47,0,77.51,0,78.67,0,0,81.11,79.84,0,0,0,85.17,60.67,79.17,0,0,58.5,0,61,0,26.83,53.67,57.01,0,0,0,72.84,74.17,58.67,0,0,49.5,38.83,41.88,0,0,58.67,61.84,87.34,0
Desk 45,69.34,20.71,65.37,0,87.52,0,71.67,78.97,0,0,0,0,0,75.67,83.84,0,0,0,71.34,39.84,0,0,0,75.33,79.67,0,0,38.02,33.34,0,0,0,0,0,0,0,0,64.01,0,53.01,0,0,82.15,0,74.01,14.83,0,79.51,0,0,0,0,76.84,36.67,8.83,0,0,77.84,40,39,0,47.38,56,73.67,0,0
desk 110,0,0,82.5,81.84,77.84,0,0,55.67,47.17,23.33,46.5,81.67,62.67,83.34,80.5,0,81.21,84.84,80.51,75.17,0,0,74.5,8.67,2.67,79.5,77.5,82.34,81.26,79.17,31.83,0,75.17,54.67,77.21,24.5,74.84,80.34,48.5,53.16,71,4.83,78.13,0,83.67,79.51,0,81.84,40.17,0,0,0,77.84,78.67,76,0,0,80.84,1.33,53.33,0,75.51,81.84,77.01,78.5,0
