asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
Letto,0,9.17,24.67,53.17,22.33,42.67,40.33,17.67,29.16,39,49.5,15.33,52.67,44,18.67,55.17,25.67,48,34.17,23.5,56.17,20.17,53.17,39,23.67,22.28,2.17,43.67,30.84,11.33,42.84,56.72,32,36.84,12.5,34.34,46.67,35.17,55.83,25.84,0,25.83,29.84,35.17
Karhu,0,31.67,47.83,14.17,2.83,34,53.67,76.78,34.17,28.66,61.17,57.67,71.15,49.83,25.17,63.18,45.67,56.17,65.86,69.5,65.21,55,23.83,55.17,40.83,41.83,42.83,48.5,66.17,59.17,60,55.67,34.67,29.67,35.5,51.98,28.5,51.49,58,27.33,13.83,50.33,49.33,45.67
Räme,0,0,0,0,0,35,26.17,38.34,32,21.66,38.33,35.16,34,51.33,33,19,52.33,41.5,24.84,37.84,55.34,34.5,54.17,40.5,23.17,25.84,39,64.84,31.5,24.83,17.67,30.83,21.17,39.83,26.5,47.17,46.17,33.83,36.33,42.84,0,20.5,19.67,12.5
Puolukka,0,0,18.67,0,21.67,51.67,39.5,45.5,37.33,0.83,66.66,13.67,51.17,36.17,30.33,42.66,38.67,50.5,38,46.67,39.43,38.5,71.94,47.83,47.33,31,26.5,41.17,61.67,33,24.67,16,25.5,57.33,37,32,31.17,54.5,36.33,13.33,37,62.86,50.83,36.83
2.krs Neukkari,0,0.67,4,12.33,8.17,6,21,13.17,0,1.5,0,4.67,6.67,19.5,7.5,12.17,4,3.5,0,2.83,9.17,6.67,5.17,9.5,9.83,0,8.17,2.33,5.83,2.84,6.5,1.33,9.5,0.67,11.17,16.5,25.67,8.33,0,0,0.33,0,0.5,0
Kelo,0,0,47.17,17.33,52.84,72.34,32,53.56,39.38,20.33,24.16,49,31.33,55.83,37.84,60.83,72.67,27,37.83,13.67,62.01,77,54.84,54.17,63.34,43.16,43.83,37,49.5,20,0,50.33,52.17,80.34,30,65.34,37.67,57.84,32.5,52.5,16.5,32.5,40.67,36.33
Kaarna,0,6,36.5,21.33,71.48,23.17,66.66,36,46.5,21.67,61,38.83,38.17,42.66,34.67,47.33,45.33,15.67,23.84,15.17,63.34,68.17,52.33,60.5,31.5,52.67,42.67,36.5,35.17,27.67,45.5,38.67,76.34,49.67,27,66.17,42.34,71.34,52.34,13.67,39.83,44.67,74.19,28.34
K2,0,30.33,49,46.34,66.81,59.5,60.44,55.84,51.84,33,35.17,56,42.34,49.33,66,55,53.33,53.17,45.17,37.17,67.84,49.67,72.17,54.17,13.34,61.7,49.66,73.34,48.5,48.33,55.63,56.46,34.5,71.11,57.5,67.9,73.67,69.17,47.84,52.34,30.5,73.33,29.5,36.65
K3,0,3.33,3.67,12.17,28.83,25.5,27.67,34.5,38.5,15.17,31.34,30.17,6,37.17,36.17,23.33,32.35,22.67,26.34,4,24,25.33,40.34,33.17,14.33,21.67,5.17,33,28.01,16,20.83,3,6.84,7.63,12.5,19.5,19.67,41.83,10.67,4.83,2.33,29.5,0,7.67
K4,0,15,45,30.17,30,58.84,40.17,30.67,53.34,66.47,60.34,47.93,51.5,55.34,26.67,53.17,63.03,56.84,43.67,36,47.5,45,64.17,53.17,45,44.16,40.34,50,53.83,35.67,33.5,52.67,31.51,45,43.34,61,58,64.74,35.01,16.67,15,54.67,1.33,26.67
