asset,2024-03-01,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31
Letto,21.5,40.5,34.67,63.34,53,24.5,55.34,42.33,63.82,61.5,31.84,58.84,26.5,46,44.67,21.17,58.34,22.17,39.83,22.17,0,0,75.5,52.16,36.84,33.67,25,60.67,59.84,66.17,69.67,35.5,41.5,52.17,47,40.19,50.5,32.67,46.34,54.3,34,72.17,23.67,0,46,65.17,54,40.84,15.83,0,0,37,56.34,47.5,61.67,33.5,36.44,62.51,43.67,46.67,26.34,28.17,57.5,22.5,43.33,31.33
Karhu,36.04,56.83,58.16,74.23,33.5,19.67,47.67,56.09,57.1,9.83,39.17,48.17,64.5,50.67,57.14,42.33,64.49,43,61.5,40.33,0,0,76.7,49.33,43.5,0,25.17,62.4,37.67,50.33,11.5,76.17,57.5,58.44,33.17,14.5,31.83,47.33,17.67,45.67,31.5,43.33,33.33,0,42.83,31.33,49,47.67,62.83,0,0,28.83,53.67,49.33,61.83,0,59.33,47,33.45,52.5,70.83,56.83,36.98,30.17,24.17,0
Räme,0,12.84,61.34,50.5,19.17,0,39.5,48.11,36.17,37.17,29.67,42.5,27.33,40,34.67,18.5,16.34,33.84,16.67,5.67,0,0,30.83,29.67,18.67,10.33,51.83,23.17,20,25.83,2.67,64.9,40.34,38.84,21,7,13.83,9.67,35.67,35,0,29.17,9.5,0,31.5,21.17,28.5,58.27,21,0,0,17,29.33,31.83,28.5,0,14.83,66.67,27.33,59.33,16,37.34,16.34,67.47,18.83,0.67
Puolukka,28,41.17,46.38,22.83,23.67,0,19.67,40.56,78.07,33,38.83,47,10.67,55.5,32.33,28.5,40.33,30.33,40.5,22.83,0,0,22.67,50.17,49.67,23.5,42.33,30.33,27.5,28.17,37.83,38.33,36.67,39.5,20.83,58.17,61.86,18.83,50.5,56.17,39.49,2,33.83,0,22.67,36,28.67,41.17,55.33,0,14,24.17,17.83,44.26,22.33,18.33,23.33,31.33,47.5,48.83,2.5,30.5,58.63,48.83,24.83,22
2.krs Neukkari,0,0.5,26.84,0.33,10.51,0,10.33,1,0.33,2.83,0,2.67,14,0,7,23.84,13.5,20.5,14.5,0,0,0,5.33,17,0,0,7.83,24.17,7.5,0,0,0,16.17,7,6.5,0,14.33,4.33,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,22.67,49.84,12,0.67,16.34,11.83,16.33,0,5,0,22.17,1.5,0,4
Kelo,0,47.82,67.15,64.5,75.63,19.5,48.17,71,18.17,18.5,40.34,36.17,41.5,6.17,75.17,52,0,13.83,48.31,38.84,0,0,59.43,35.93,80.58,27.33,31,53.67,56.17,67,37.17,55.17,60.83,45.84,40,36.84,9.67,39.5,42.5,72.43,50.17,57.67,64.67,0,48,48.5,55,55.84,63.84,0,0,67.17,69,47,47.67,67.17,45.9,58.5,45.67,59.84,36.5,50.5,63.17,44.84,73.5,54
Kaarna,12.33,31.17,47.83,55,58.17,44.33,57,59.84,56.67,26.17,47.67,63.84,38,41.84,46.17,48.17,35.83,66.17,48.67,26.83,0,0,57,65,57.5,14.83,60.84,60.5,67.5,36.67,57.17,63.17,34.84,46,53.1,46.83,39.34,73.07,27,43.5,20.05,51.84,69.63,0,63,30,9.33,81.84,44.5,0,19.67,49.5,46.5,36,20.34,18.67,59.17,65.84,57.17,50.33,41.34,47.33,70,55.38,59.54,39.67
K2,20.67,58.94,63.67,48.34,70.51,45.84,72.55,46.67,56.36,61.67,64.01,58.99,53.31,73.34,56,1.83,50.17,53,63.17,47.5,0,0,38.83,58.83,59.34,55.66,59.5,50.96,36.67,51.5,56.67,48.84,54.67,57.17,32.87,22.5,50.17,47.17,22.5,57.01,42.67,47.67,33.84,0,42.67,25.5,48.17,66.5,33.83,0,11.5,46.67,48.51,68.67,45,23.83,85.17,38.84,31.34,41.17,63.55,60.67,65.51,56.17,65.5,31
K3,3.5,28.67,21,21.5,37.67,13.5,24.33,26.84,23.17,32.17,17.33,27.5,7.17,13.84,34.5,1.67,27.67,36,26.5,1.17,0,0,13.67,18.5,1,7,15.33,15.84,16.17,4.5,3.83,25,14.33,12.83,18,11,21.5,3.67,3.67,0.5,0,22.5,0.5,0,27.5,26.17,29.33,14.67,18.33,0,0,23.84,27.33,26.5,16.67,0,21.84,25.67,14.67,38.01,18.67,0.67,44.33,30.33,22,4.5
K4,1.67,46.84,49.17,62.67,49.75,34.24,54.84,58.86,59,59.18,47.01,42.17,61.29,45.78,51.67,17.17,52.5,37.17,59.17,13.33,0,0,23.67,43.47,46.17,51.84,19.17,77.84,58.17,40.72,35.17,36.83,63.34,55.17,53.67,44.34,25.28,50.67,58.67,57.33,34.5,55.5,51,0,62.51,15.34,70.33,57.5,33.34,0,6.67,55.17,63,34.51,50.67,43.17,55,68.48,54.84,52.84,62.51,59.67,59,69,55,40.33
