asset,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27
Letto,26.67,26.84,51.34,68.34,22.17,49.45,59,72.27,43.34,16.5,72.5,49.33,38.84,53.34,9.84,0,0,0,0,0,9.17,0,0,0,0,0,0,61.84,11.83,40.33,17.83,53.17,31.5,58.51,26.84,50.83,32,25.5,61.67,29.83,76.67,26.83,40.72,44.67,26.83,21.33,45.34,51.17,39.67,50.67,55.34,36.33,52.34,5.33,0,20,26.5,53.17,40.38,30.67,18.34,34.34,40.5,50.84,59.83
Karhu,0,38.17,35.5,33.5,4.5,21.67,23.5,58.67,26.33,34,16.33,39.83,51.17,24.83,25.83,0,0,0,0,0,0,0,0,0,0,0,0,30.67,26.67,10.67,41.83,40.33,41.17,30.33,14.5,36.5,50,29.67,70,42.33,22.17,33.67,69.33,47,15.17,28,38.83,49.67,36.33,57.33,72.83,51.16,53,38.67,31.83,48.33,48,38.66,54.33,0,69.83,56.28,33.33,21,0
Räme,0.33,22.17,6.5,22.83,3,17.67,17,26.17,15.5,0,36.5,34,0,61.83,0,0,0,0,0,0,7.5,12.5,0,0,0,0,0,21.67,33,0,9.84,24.67,4.83,45,3.5,12.67,0,0,15.67,25.17,10.17,17.83,28.17,31.83,9.33,43.67,30.5,8.17,45.33,5,31.34,34.33,21.17,26.17,6,9.83,14.17,38.34,19.67,0,7.5,6.67,15.5,0,0
Puolukka,21.17,40.33,34.83,45.33,0,10.67,35.5,53,31.17,0,5.67,39.33,31.33,33.67,4.83,0,0,0,0,0,1.33,0,0,0,0,0,0,31.83,0,9.33,30.67,46,50.67,0,0,49.17,26.05,53.17,48,27.5,19.5,59.83,47.83,55.67,20,0,35.33,37.83,32.5,0,57.95,50.5,37.17,16.33,28.83,31.81,48.67,47.17,49.5,10.83,16.17,35.33,24.5,32.83,0
2.krs Neukkari,0,0,5.5,27.34,3.67,0,0,0,0,0.5,1.83,0,1,8.17,13,4,0,0,0,0,0,0,0,0,2.67,0,0,0,18,34.89,0,0,0,0,0,0.33,0,0,0,0,0,11.67,0,2,0,18.83,0.33,0.5,0.5,0,31.91,1.67,0,5,0,0,0,0,0,0,0,0,0,0,0
Kelo,61.34,17.29,37.83,54.5,25.5,80.75,73.57,58.17,0.33,31.55,75.01,46.83,58.34,35.83,0,0,10,0,0,0,0,20.34,0,0,0,0,0,56.01,73.67,46.67,65.17,73.97,52.67,42.34,54.17,63.59,56,65.17,63.57,36.83,43.17,60.17,64.19,77.17,29.17,15.33,73.15,62,68.47,59.33,55.17,68.5,70.34,59.83,63.34,56.17,82.88,55.17,87.5,11.17,48.5,65.17,32.83,63.84,31.83
Kaarna,67.34,26.83,44.83,26.67,25.5,48.5,47.67,72.06,67.84,22,57.67,32,64.84,64.02,16.5,15.83,0,0,0,0,0,18.5,0,0,0,0,0,45,68.17,79.17,54.33,42.5,47.33,22.5,30.67,88.19,42.17,68.5,33.5,65.34,29.83,37.67,53.34,63,45.17,21.5,44.67,49,40.83,38.33,14,42.33,54.34,60,31.17,51.38,60.17,67.53,15.5,25.36,60.5,33.33,66.84,45.33,65
K2,24.67,33.67,47.84,60.34,54.5,45.67,48.17,38,51.17,32.5,40.67,51.67,33,60.5,18.5,56.68,0,0,0,0,7.5,0,0,0,0,7.33,0,47.54,40.5,56.17,34.17,64.32,37.84,37.5,56.5,66.34,42.34,47.67,61.34,27.67,26,50.17,62.84,56.5,52.17,11.83,39.5,60.17,34.33,55.5,40,51.5,64,63.34,57.34,51.34,27.17,42,40.5,35.34,16.83,49.95,39.67,13.67,31.34
K3,30.67,28.67,19.84,20.17,0,21.67,23.33,9.33,35.34,11.51,25.17,40.5,22.5,29.67,14.5,0,0,0,0,0,25.33,18.51,0.33,0,0,28.83,0,26.67,20.17,0,17,16,16.83,14.67,21,0,31.5,22.67,43.32,0,42.67,44.34,38,21.83,0.33,26.5,31.34,21.84,16,38.67,39.67,33.17,0,11.33,0,31.83,16.66,13.17,34.33,0,31.17,23.83,29.67,19.67,0
K4,0.83,49.38,57.17,38.17,24.84,49.17,29.5,43.33,29.67,24.17,38.84,16.17,47.84,36.67,0,0,0,0,0,0,0.83,0,0,0,0.5,0,0,37,51,20.5,60.84,37,26.34,42.51,37.67,51,36.33,35.84,54,15.17,32.67,26.17,56.83,34.17,21.84,17.33,36.01,37.34,27.33,17.33,36.34,21.67,47.34,53.64,10.33,54.83,33.84,28.5,22.34,17.67,39,36.5,28.33,19.67,13.83
K5,60.51,49.67,54.5,79.5,74.5,64.49,37.5,40.67,30.5,44.17,65.83,37.33,33.17,79.25,39.67,29,0,0,0,0,20.5,15.33,0,0,0,0,0,74.84,57,43.33,56.67,59.84,50.17,22,50.5,39.84,57.67,75,49.84,8.67,37,50.5,73.17,43.01,64.5,3.83,53,49.67,50.17,59.36,58,34.33,63.67,56.17,53.17,75.51,51.67,44.17,41.84,13.5,38.67,44.67,30.67,13.5,24.5
K6,9,18.33,56.84,36.33,19,46.17,60.71,53.17,40.17,25.5,36.67,35,49.34,41.29,20,22,0,0,0,0,5,0,5,0,4.83,0,0,32.45,45.17,20.67,50.67,30.67,28,17.34,39.17,45,47,53.34,43.17,38.17,33.17,7.33,33.17,40.5,27,12.67,30.01,57.21,42.67,32.33,47.17,34.67,43.31,52.67,43.8,42.5,14.67,31.5,26.84,20.17,25.33,30.17,39.67,37.17,0
K8,33,34,49.8,26.67,18.67,40.83,27.33,14.17,26.33,44.67,33.5,8.71,52.83,39.83,22.67,6.5,7.17,0,0,0,11.83,0,16.83,0,13,32.4,0,37,46.04,6,45.17,32.83,30.5,20.17,45.98,44.84,31,59.5,31.5,50.67,44.5,14.83,50.84,37.17,54.67,28.67,10,30,15.83,35.83,37.67,16,47.84,38.5,37.67,55.07,23.33,37.83,33.84,56.9,40.34,22.33,27.84,15.5,17.5
K7,7.5,16.17,12,5.33,4.83,17.84,29,2.33,6.17,1.5,20.83,1.67,18.5,16.67,9.17,2.34,0,0,0,0,8.5,8,0.5,0,2.5,9.17,0,24,9.17,6.84,32.17,3.4,10.5,0.66,3.67,16.34,6.83,33,33.83,8.5,21.5,2.67,27.17,33,8.5,0,1.83,7.17,17,0.33,4.5,6.5,10.5,5.83,19.33,22.89,31.5,17.5,14.84,0.83,4.33,2.5,1,8.17,1.67
